class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-color,has-ring,ring-type,habitat,season
e,6.65,x,w,y,f,f,f,f,5.85,13.65,y,f,f,d,a
p,3.18,x,y,n,f,a,,w,5.93,3.5,y,t,r,h,a
e,3.96,x,,y,f,a,c,y,3.29,8.56,w,f,f,d,u
e,2.76,f,s,w,f,d,d,w,2.89,6.12,w,f,f,g,w
e,1.43,x,t,n,f,d,,w,5.01,1.37,y,f,f,h,u
p,2.63,o,s,y,f,f,f,f,0.0,0.0,f,t,f,d,a
p,4.6,x,y,n,f,a,,w,6.13,3.62,y,t,r,d,u
p,3.16,o,l,g,f,f,f,f,0.0,0.0,f,f,f,d,u
e,12.32,x,,n,t,,,w,11.29,20.35,w,t,g,d,a
e,7.69,s,,g,f,s,c,g,5.73,19.32,u,f,f,g,a
p,3.06,f,w,p,f,a,,r,5.1,6.03,y,f,f,g,u
e,5.68,x,i,n,f,e,c,p,4.57,12.37,w,t,l,w,a
p,2.86,b,d,p,f,a,,y,5.01,5.67,r,f,f,g,u
p,10.63,x,t,n,f,a,d,w,10.58,28.54,w,f,f,d,a
e,8.27,x,e,l,f,x,c,w,6.9,16.4,w,f,f,d,a
p,3.09,x,y,n,f,a,,w,6.05,3.62,n,t,r,h,a
e,4.5,x,,y,f,a,c,y,4.77,9.16,w,f,f,d,u
p,6.19,s,d,o,f,d,c,y,4.17,7.57,o,f,f,d,a
p,3.85,x,,b,f,x,,w,5.35,7.11,w,f,f,d,a
p,5.81,x,e,e,f,a,,y,7.86,10.16,n,t,z,d,a
p,3.01,f,d,b,f,x,c,w,3.62,2.68,n,f,f,d,u
p,1.41,o,k,n,f,,,n,4.42,1.62,n,f,f,d,u
p,3.84,o,s,n,f,,c,w,0.0,0.0,f,f,f,d,u
e,13.37,s,s,u,f,x,,n,7.45,24.13,p,f,f,d,w
p,4.35,x,s,y,f,,c,r,8.96,7.31,y,t,z,d,s
p,4.04,f,,u,f,a,,w,4.41,6.95,w,f,f,d,a
e,6.24,s,w,y,f,f,f,f,5.68,14.06,y,f,f,d,u
e,7.33,x,y,n,f,e,c,p,7.19,10.9,n,f,f,d,a
e,11.61,x,h,n,t,p,,y,10.67,23.01,n,f,f,d,u
p,6.76,x,w,n,f,x,,w,16.27,9.93,n,f,f,d,a
p,6.08,x,s,n,f,s,,g,4.87,6.55,n,f,f,d,a
e,1.0,b,g,g,f,,,g,2.78,1.37,w,f,f,d,s
e,8.11,o,,n,f,,,w,5.31,26.54,n,f,f,d,u
p,8.21,b,y,w,f,,,p,14.27,18.03,w,f,f,d,a
e,7.42,x,d,y,t,p,,y,7.63,14.95,y,f,f,d,u
p,7.72,x,,g,t,x,,u,8.74,18.79,n,f,f,d,a
e,9.56,x,s,w,f,s,c,w,7.48,29.85,w,f,f,d,u
e,8.51,x,y,e,f,,,w,7.52,23.82,n,t,e,d,w
p,10.49,o,,n,f,f,f,f,3.27,26.41,n,f,f,d,s
e,11.27,f,e,b,f,,c,b,5.16,20.15,w,t,f,d,a
p,7.16,c,e,w,t,x,c,y,8.46,11.65,w,f,f,g,s
e,1.4,x,t,y,f,d,,w,5.47,1.96,y,f,f,h,u
e,4.42,x,,r,f,a,,r,6.11,7.76,l,f,f,l,a
e,49.48,o,y,y,f,p,,y,5.46,28.01,n,f,f,d,u
p,2.26,b,g,w,f,,c,n,6.48,3.06,n,f,f,g,s
p,12.25,f,,n,f,e,,w,11.3,15.17,w,t,e,d,a
e,4.81,b,g,n,f,a,d,g,5.5,4.11,g,f,f,d,u
p,0.52,x,g,y,f,,,y,3.4,0.65,y,f,f,d,a
p,7.45,x,y,w,t,,,n,8.34,13.93,w,t,l,g,a
p,4.25,x,,n,f,x,c,p,8.81,4.19,n,f,f,l,a
p,5.28,s,d,y,f,d,c,y,3.4,6.42,y,f,f,h,u
p,2.26,b,d,p,f,a,,r,4.15,3.91,y,f,f,m,u
e,8.41,f,h,o,f,s,,n,10.18,13.69,o,f,f,d,a
e,3.92,s,d,u,t,d,c,p,4.86,6.32,g,f,f,d,u
e,5.22,p,,g,f,f,f,f,6.37,21.39,n,f,f,l,s
p,8.22,x,w,p,f,s,c,p,4.77,10.04,p,f,f,d,w
e,5.18,x,,n,f,x,c,n,7.72,7.34,n,t,,g,a
p,3.76,c,i,y,f,,c,r,6.03,5.86,w,f,f,d,a
p,2.47,f,d,b,f,x,c,y,4.14,2.6,n,f,f,d,a
p,3.51,x,t,n,f,s,c,n,5.97,9.02,w,t,z,d,a
e,2.49,f,y,n,f,d,d,p,7.82,3.42,n,f,f,h,a
e,12.1,f,e,b,f,,c,b,5.01,20.12,w,t,f,d,a
p,9.23,s,t,p,t,d,c,p,7.95,14.35,p,t,f,d,u
p,2.53,x,g,e,f,a,,p,7.46,2.42,w,f,f,d,a
p,7.48,b,t,w,f,e,c,w,13.37,12.54,w,t,l,d,u
p,3.25,s,,u,f,a,,w,4.33,8.53,w,f,f,d,u
p,2.98,f,w,n,t,d,c,y,4.1,6.91,n,f,f,d,u
e,13.67,p,s,n,t,e,,g,12.55,19.21,w,t,r,m,a
p,0.71,f,,o,f,d,,o,3.95,0.92,y,f,f,g,a
p,7.71,o,k,r,f,,c,y,1.56,16.22,y,f,f,d,w
e,7.25,x,,n,f,x,c,w,7.05,18.21,w,f,f,d,u
p,8.16,x,s,n,f,s,,g,5.7,7.77,n,f,f,d,a
e,44.98,o,y,y,f,p,,y,6.71,27.35,n,f,f,d,u
e,2.0,x,,b,f,,d,w,6.08,4.3,w,f,f,d,u
p,8.15,f,,n,f,x,c,w,9.92,11.71,w,f,f,d,a
e,4.44,f,h,n,f,a,d,y,7.43,6.29,o,f,f,d,w
e,18.39,s,t,k,f,a,d,y,7.45,24.09,w,f,f,d,u
p,8.3,x,y,w,t,,,n,8.34,15.72,w,t,l,d,u
p,5.53,s,k,y,f,p,,n,4.41,5.35,n,t,f,d,u
p,0.56,x,g,y,f,,,y,3.35,0.67,y,f,f,d,a
e,5.16,f,s,n,f,x,c,w,7.09,10.36,n,f,f,l,a
e,8.93,x,h,y,f,p,,y,8.36,16.65,y,t,,d,a
p,1.55,x,g,n,f,d,d,n,2.45,2.62,n,f,f,d,a
p,1.74,b,,g,f,a,,g,4.98,2.08,n,f,f,d,a
e,5.37,x,y,n,f,s,,g,4.87,7.52,w,f,f,d,a
e,9.69,s,,n,f,,,w,4.96,25.44,n,f,f,d,a
p,1.87,b,,g,f,a,,g,5.24,1.89,n,f,f,d,u
e,3.43,x,k,n,f,p,,y,4.77,10.4,n,f,f,d,a
p,5.56,x,t,n,f,s,,g,5.72,7.19,n,f,f,d,a
p,2.33,c,,w,f,a,c,w,4.01,3.52,u,f,f,d,u
e,8.26,f,d,w,f,s,c,w,6.76,27.0,w,f,f,m,s
e,10.03,f,y,w,f,e,c,k,13.88,11.7,w,t,e,d,w
e,7.98,x,,n,f,s,c,g,7.39,19.16,u,f,f,g,a
e,15.1,x,y,n,t,e,,w,9.07,16.34,w,t,,d,a
p,4.57,x,,p,f,,c,w,2.68,10.95,y,f,f,d,a
p,2.69,s,d,w,f,d,d,p,3.84,2.36,w,f,f,g,a
e,10.07,x,s,y,f,a,d,w,8.78,14.29,n,t,,d,w
p,9.1,s,t,p,t,d,c,p,7.48,15.06,p,t,f,d,a
p,2.85,b,,n,f,a,,n,9.09,2.52,n,f,f,g,a
p,2.48,b,,g,f,a,,n,7.17,2.45,n,f,f,g,u
e,5.17,x,t,y,t,x,c,y,6.16,12.75,w,f,f,d,a
p,4.77,x,s,e,f,e,,k,5.58,5.6,k,f,f,g,u
p,2.99,b,,k,f,a,,k,8.28,2.44,g,f,f,g,u
p,3.47,x,i,e,f,,,e,4.28,4.3,e,f,f,d,a
p,4.45,f,k,n,f,s,,p,4.34,3.61,n,f,f,g,a
p,0.72,x,,o,f,d,,o,4.07,0.99,o,f,f,g,u
e,10.93,x,,g,f,s,c,p,8.04,20.66,u,f,f,d,w
e,6.8,s,,n,f,d,c,w,5.38,8.54,w,f,f,l,a
p,2.66,s,w,n,t,d,c,y,2.77,5.41,n,f,f,d,a
e,11.72,s,t,o,t,d,c,o,7.13,17.99,w,f,f,d,u
e,4.61,x,,w,f,x,c,w,7.63,8.33,w,t,,d,a
e,9.39,f,y,w,f,e,c,w,13.97,10.95,w,t,e,g,a
e,20.57,x,d,n,f,p,,w,16.41,36.13,w,f,f,d,a
e,9.37,o,,n,f,,,w,4.45,19.84,n,f,f,d,a
e,14.73,f,,g,f,d,c,y,2.53,14.69,w,f,f,d,a
p,6.8,o,t,n,f,,c,o,1.4,15.57,n,f,f,d,a
p,6.14,c,i,y,f,,c,r,7.19,8.87,w,f,f,d,a
e,12.91,p,s,w,f,e,c,k,22.34,14.12,w,t,e,d,a
p,6.96,x,w,n,f,x,,w,10.33,6.51,n,f,f,d,a
p,4.14,x,y,y,f,a,,w,4.96,3.29,y,t,r,g,u
p,7.89,x,w,p,f,s,c,p,5.23,10.01,p,f,f,d,a
p,6.5,s,t,n,t,d,,w,4.44,12.64,r,f,f,d,a
e,7.64,x,s,n,f,e,c,p,5.79,9.04,n,f,f,d,u
p,9.47,s,t,p,t,d,c,p,7.75,12.36,p,t,f,d,a
p,6.6,o,t,r,f,,c,o,1.42,14.62,n,f,f,d,w
p,3.2,x,y,y,f,a,,w,5.28,3.48,n,t,r,d,u
e,2.77,x,,u,f,,d,u,5.62,4.19,w,f,f,d,a
e,8.43,x,h,y,f,p,,y,7.14,16.3,y,t,,d,u
p,4.0,b,t,r,f,s,c,n,7.22,8.17,n,t,e,m,u
e,7.11,x,t,n,f,e,,w,14.0,13.98,w,f,f,d,a
p,3.02,s,s,w,f,d,c,w,2.64,7.31,w,f,f,g,a
p,6.81,b,t,w,f,e,c,w,12.39,12.08,w,t,l,d,a
p,5.09,x,t,r,f,s,c,n,6.78,8.0,n,t,e,d,u
p,1.14,x,g,w,f,a,d,w,2.79,1.61,n,f,f,l,u
p,7.09,f,,n,f,d,c,y,5.67,9.95,n,f,f,l,a
e,16.88,f,y,n,f,,,w,22.98,19.7,n,t,m,m,a
p,5.96,f,h,r,f,,c,w,10.39,13.43,w,t,g,d,a
p,3.35,o,l,g,f,f,f,f,0.0,0.0,f,f,f,d,s
e,11.3,f,e,b,f,,c,b,5.12,21.26,w,t,f,d,a
e,2.76,x,h,o,f,a,c,o,4.19,6.75,o,f,f,g,w
e,7.65,f,,y,f,a,c,w,6.99,16.87,g,f,f,d,w
p,2.9,x,g,n,f,a,,w,7.92,2.73,n,f,f,d,a
e,4.17,f,,w,f,x,c,w,5.99,3.77,w,f,f,d,a
e,18.27,x,s,n,f,a,d,y,7.74,27.23,w,f,f,d,u
e,1.2,p,g,g,f,,,g,3.69,1.66,w,f,f,d,u
p,5.87,x,h,e,f,x,,w,12.13,6.73,n,f,f,d,a
e,4.23,x,h,p,f,a,c,e,4.8,6.49,o,f,f,m,w
p,1.41,x,k,n,f,,,n,3.23,1.43,n,f,f,d,a
e,15.66,f,e,g,f,d,c,w,10.28,25.83,w,f,f,l,w
e,2.73,s,y,n,f,a,d,p,5.31,3.41,n,f,f,l,u
e,3.91,x,,y,f,a,c,y,3.42,8.72,w,f,f,d,a
e,1.7,x,s,y,f,d,,w,6.14,2.27,y,f,f,d,u
p,3.63,o,s,y,f,f,f,f,0.0,0.0,f,t,f,d,u
p,3.83,b,y,n,f,,c,g,5.6,4.54,w,f,f,d,a
p,0.71,f,,o,f,d,,o,4.16,0.99,y,f,f,g,a
p,20.61,f,d,n,f,p,,y,4.86,31.16,n,f,f,d,a
e,4.94,p,y,w,f,e,c,n,4.74,11.16,w,t,e,m,a
e,6.87,f,s,n,f,s,,y,8.95,11.71,o,f,f,d,a
e,4.35,p,y,w,f,e,c,k,3.77,11.7,w,t,e,g,u
e,7.18,s,,n,f,d,c,w,5.21,8.57,w,f,f,l,a
p,8.83,x,y,w,t,,,n,8.47,14.65,w,t,l,g,a
e,5.18,c,,g,f,f,f,f,4.33,18.97,n,f,f,l,s
e,5.19,s,s,b,f,d,d,b,5.15,11.39,w,f,f,m,a
p,8.91,x,,u,t,x,,u,8.38,20.71,u,f,f,d,a
p,9.88,s,t,p,t,d,c,p,7.91,14.8,p,t,f,d,u
p,2.02,b,,g,f,a,,g,5.2,1.97,n,f,f,d,a
e,8.84,f,d,w,f,s,c,w,6.26,28.54,w,f,f,d,s
p,17.73,f,k,w,t,d,d,w,8.07,30.54,w,f,f,d,w
e,7.93,x,s,n,f,a,d,w,7.52,15.24,n,t,,d,w
e,3.02,b,y,n,f,,c,k,6.88,2.77,w,f,f,d,u
p,10.4,o,,n,f,f,f,f,3.82,25.36,n,f,f,d,u
p,7.81,s,h,g,t,d,,w,4.56,13.17,n,f,f,d,u
e,9.37,x,e,l,f,x,c,w,8.9,25.45,w,f,f,d,u
p,15.21,s,s,n,f,d,c,y,6.2,38.65,k,f,f,d,a
p,5.73,b,d,n,f,a,c,y,5.21,6.47,y,t,,d,u
e,4.16,s,d,p,t,d,c,p,5.31,6.86,n,f,f,d,u
e,9.15,f,s,k,f,a,c,w,4.77,17.03,w,f,f,d,u
e,11.29,x,,n,t,,,w,10.43,17.39,w,t,g,d,a
p,4.0,x,k,n,f,s,,p,4.46,3.55,n,f,f,g,a
p,2.71,b,t,n,f,,,k,9.94,5.61,w,t,,g,a
p,1.13,b,t,n,f,,c,k,3.18,2.37,n,t,f,m,u
p,4.81,x,s,r,t,s,d,w,5.37,12.81,w,f,f,d,u
p,2.83,p,t,n,f,a,c,n,8.8,2.75,y,t,e,m,s
e,12.13,f,e,b,f,,c,b,4.89,21.48,w,t,f,d,a
p,2.84,f,w,n,t,d,c,y,3.57,5.95,n,f,f,d,u
e,5.65,x,y,n,f,e,c,w,5.55,9.82,n,f,f,d,a
p,4.48,f,l,n,f,x,d,e,5.72,5.13,n,f,f,d,a
p,6.08,c,e,w,t,x,c,r,7.94,13.49,w,f,f,d,s
e,4.48,f,,w,f,x,c,n,6.98,3.87,w,f,f,d,u
p,9.17,x,e,n,f,a,,n,9.98,13.42,n,f,f,d,a
p,5.33,p,y,n,f,,,g,11.13,12.5,w,t,z,d,a
e,9.21,x,s,w,f,e,c,k,4.18,12.82,w,t,e,m,a
p,3.78,f,k,w,f,s,,p,3.34,2.58,n,f,f,g,u
p,5.44,x,i,o,f,e,,k,7.1,7.27,k,f,f,g,u
p,1.36,x,,n,f,,,n,4.49,2.22,n,f,f,g,a
e,6.73,x,,e,f,x,c,w,5.05,13.59,w,f,f,d,u
e,7.22,x,h,y,f,p,,y,6.47,13.27,y,t,,d,u
p,3.8,x,,w,f,x,c,p,6.86,4.03,n,f,f,l,u
p,8.25,s,t,p,t,d,c,p,7.39,14.45,p,t,f,d,a
e,1.36,f,w,n,f,,d,g,4.81,2.52,w,f,f,g,u
e,4.39,x,,r,f,a,,r,6.65,7.34,l,f,f,d,u
p,4.19,s,,n,t,d,c,b,4.69,6.06,e,f,f,d,a
e,4.9,x,,r,f,d,,r,5.36,7.66,l,f,f,l,u
p,2.56,o,,g,f,f,f,f,3.39,14.33,g,f,f,d,a
p,2.32,b,g,n,f,,c,n,5.95,3.21,n,f,f,g,s
p,12.34,o,,n,f,f,f,f,3.75,26.79,n,f,f,d,u
e,9.97,f,,g,f,s,c,u,5.73,15.52,b,f,f,d,w
e,9.4,f,,n,t,,,w,10.23,16.39,w,t,g,d,u
p,1.79,p,t,n,f,a,c,n,6.27,2.41,y,t,e,m,u
e,8.72,x,,n,f,a,,w,6.74,13.29,w,f,f,d,a
e,4.72,x,s,b,f,d,d,o,5.4,11.15,w,f,f,m,w
p,2.63,s,d,w,f,d,d,w,3.28,2.42,w,f,f,g,u
e,18.53,p,t,n,f,p,,y,18.17,73.39,n,f,f,d,u
e,52.61,o,y,y,f,p,,y,7.48,44.34,n,f,f,d,s
p,2.66,b,,g,f,a,,g,5.49,2.15,g,f,f,d,u
e,7.66,x,y,n,f,e,c,p,4.72,13.82,w,t,r,w,a
e,7.57,x,,g,t,p,,g,11.81,26.01,w,f,f,d,u
e,2.97,x,k,n,f,p,,n,4.83,9.27,n,f,f,d,a
e,9.86,x,s,n,t,p,,n,6.44,16.58,n,t,p,d,u
p,3.25,c,,w,f,a,c,n,4.02,3.53,u,f,f,d,u
e,1.01,c,g,n,t,a,,p,6.05,0.98,n,f,f,h,u
e,7.42,x,,w,f,e,,w,6.21,12.86,w,t,g,d,a
e,4.61,o,,g,f,f,f,f,5.86,20.68,n,f,f,l,s
e,8.26,f,,w,f,d,c,y,2.52,14.62,w,f,f,d,a
p,16.4,f,g,o,f,e,,w,17.92,17.83,w,t,g,d,u
p,4.91,f,,g,f,d,c,y,5.51,9.31,n,f,f,d,a
e,7.36,x,,n,t,p,,g,10.13,23.87,w,f,f,d,a
p,3.71,o,,w,f,f,f,f,5.45,29.52,w,t,f,d,u
p,1.39,x,,n,f,,,n,5.47,2.76,n,f,f,g,a
e,14.35,x,d,e,f,p,,w,13.65,31.6,w,f,f,d,u
p,2.28,f,i,k,f,a,,p,3.53,2.48,w,f,f,g,u
e,9.6,f,y,w,f,e,c,k,17.84,11.12,w,t,e,u,s
p,16.8,x,s,g,f,s,,p,7.5,17.63,n,f,f,d,a
e,5.92,x,t,g,f,a,d,n,6.24,5.16,g,t,l,d,w
p,3.67,x,s,y,f,,c,y,9.27,8.35,y,t,z,d,w
p,6.58,x,w,e,f,x,,w,11.93,6.57,n,f,f,d,a
e,3.48,x,d,e,f,a,c,e,4.46,6.9,o,f,f,g,a
p,16.16,x,e,n,t,p,,e,9.87,30.85,y,f,f,d,a
e,7.59,p,,g,f,a,,w,6.72,13.81,g,f,f,g,u
p,4.16,f,l,e,f,x,d,e,6.1,4.98,y,f,f,d,u
e,6.18,x,s,w,f,e,c,k,5.52,13.39,w,t,e,m,u
e,17.96,p,w,n,f,p,,y,14.13,65.92,n,f,f,d,u
e,9.45,x,t,y,f,p,,y,7.61,15.66,y,t,,d,a
e,2.89,x,h,n,f,,c,n,5.36,5.88,w,f,f,d,u
p,7.76,x,i,y,f,a,c,k,9.2,8.08,n,t,z,d,u
p,14.71,f,k,n,f,d,c,y,5.67,32.93,n,f,f,d,u
p,5.02,f,d,n,f,d,c,y,5.38,6.56,n,t,,d,u
e,1.67,c,g,n,f,a,,g,5.63,1.86,g,f,f,l,u
p,5.06,f,l,y,f,x,d,y,6.33,5.19,y,f,f,d,a
p,3.55,b,y,n,f,,c,u,5.86,4.44,w,f,f,d,a
e,6.2,x,h,n,f,e,,w,13.59,13.58,w,f,f,d,a
p,5.11,b,h,n,f,,,n,13.63,7.71,w,t,,g,w
e,7.22,f,i,n,f,e,c,p,3.94,11.86,w,t,l,w,u
e,1.23,b,g,g,f,,,g,3.33,1.65,w,f,f,d,a
p,6.89,f,w,p,f,s,c,p,4.24,10.09,p,f,f,d,w
e,9.89,x,i,n,t,e,,p,9.24,16.73,w,t,p,d,a
e,11.4,s,t,p,t,d,c,o,6.89,18.48,w,f,f,d,a
p,6.68,x,h,e,f,x,,w,13.92,7.32,n,f,f,d,u
e,6.82,x,h,g,f,a,d,n,5.29,3.79,w,t,l,d,w
p,3.06,b,w,u,f,a,c,u,6.36,5.18,u,f,f,l,u
p,7.95,x,,n,f,p,,p,9.69,30.6,n,f,f,d,u
p,13.44,x,s,g,f,s,,y,8.34,17.43,n,f,f,d,u
e,7.53,o,,n,f,,,w,4.31,21.14,n,f,f,d,a
p,2.41,x,g,e,f,a,,w,7.51,2.64,w,f,f,d,u
e,4.95,x,,y,f,a,c,y,5.12,8.78,w,f,f,d,u
e,1.55,x,s,n,f,d,,w,6.94,2.2,y,f,f,d,u
e,9.17,f,s,n,f,a,d,w,7.47,14.03,n,t,,d,u
p,5.24,x,,w,f,,c,r,2.77,11.97,y,f,f,d,a
p,2.85,b,y,e,f,e,c,w,3.81,3.28,w,t,e,m,a
p,5.37,f,l,e,f,x,d,e,7.01,5.35,y,f,f,l,u
p,9.27,b,t,w,f,e,c,w,12.97,13.61,w,t,l,d,a
p,3.33,b,,n,f,a,,n,8.32,2.51,g,f,f,g,u
p,0.71,x,g,y,f,,,y,3.58,0.81,y,f,f,d,u
p,1.4,o,k,n,f,,,n,3.64,1.29,n,f,f,d,s
e,8.67,o,,n,f,,,w,3.94,20.43,n,f,f,d,a
p,10.28,x,s,g,f,s,,y,7.28,16.44,n,f,f,d,a
p,3.01,o,,k,f,f,f,f,3.55,12.79,n,f,f,d,u
e,3.25,s,,n,f,f,f,f,6.3,7.74,o,f,f,d,a
p,4.02,o,,w,f,f,f,f,5.35,29.29,w,t,f,p,a
p,7.39,p,g,n,f,e,,w,7.83,17.28,w,t,p,d,u
e,6.48,f,h,k,f,s,d,w,4.69,9.37,g,f,f,d,u
p,5.76,x,i,y,f,a,c,n,7.42,7.25,n,t,z,d,a
p,2.29,b,g,n,f,,c,n,6.37,3.63,n,f,f,g,a
p,0.94,b,t,n,f,,c,k,3.8,2.59,n,t,f,m,u
e,6.07,f,s,n,f,s,c,w,6.23,10.21,w,f,f,d,a
e,3.88,x,h,n,f,,c,n,6.62,6.7,w,f,f,d,a
e,10.72,x,s,y,f,x,,n,7.57,20.23,n,f,f,d,u
e,14.39,f,y,w,f,,,w,24.94,19.79,n,t,m,d,u
e,9.65,x,h,n,t,p,,y,6.65,22.09,n,f,f,d,a
e,16.44,f,y,n,f,,,w,28.47,19.61,n,t,m,m,u
e,3.43,b,y,n,f,,c,k,6.73,3.35,w,f,f,d,u
e,17.45,p,y,n,f,,,w,24.23,20.88,n,t,m,d,a
e,12.62,x,h,n,t,p,,y,10.8,24.05,n,f,f,d,a
e,10.57,x,t,n,t,p,,y,9.05,22.89,n,f,f,d,u
e,6.78,s,l,w,f,d,,p,3.35,9.1,w,f,f,d,a
p,5.38,c,i,y,f,,c,n,6.51,7.41,w,f,f,d,u
p,4.4,o,,w,f,f,f,f,5.74,29.91,w,t,f,d,a
e,11.27,x,y,e,f,,,w,6.59,24.16,n,t,e,d,a
e,7.27,x,l,w,f,d,,w,3.59,9.2,w,f,f,g,a
e,8.18,x,,g,t,p,,g,11.72,23.96,w,f,f,d,u
e,8.71,f,e,b,f,,c,b,4.73,21.25,w,t,f,d,a
p,9.43,f,,w,f,x,c,w,9.61,9.88,w,f,f,d,a
e,2.62,x,,b,f,,d,w,5.94,4.78,w,f,f,d,u
e,7.23,f,s,n,f,s,c,w,5.35,9.06,w,f,f,d,u
p,2.36,f,s,o,f,a,,y,3.16,5.5,y,f,f,m,a
p,7.3,b,t,w,f,e,c,w,12.56,12.35,w,t,l,d,a
p,3.16,b,d,p,f,a,,y,4.97,6.28,r,f,f,d,u
p,13.51,x,,g,f,e,,w,11.29,15.67,w,t,g,d,a
e,6.73,x,,n,t,,,w,8.4,16.07,w,t,g,d,u
p,8.31,x,y,w,t,,,w,7.76,13.68,w,t,l,d,a
e,5.93,x,h,n,f,a,d,n,7.01,5.8,g,t,l,d,w
e,4.86,x,y,n,f,s,,w,3.86,6.58,w,f,f,d,u
p,8.44,f,w,p,f,s,c,p,4.99,10.11,p,f,f,d,w
p,8.21,s,t,n,t,d,,w,4.49,12.67,r,f,f,d,u
p,5.29,x,s,e,f,e,,y,4.95,5.91,y,f,f,g,a
p,0.77,x,g,o,f,,,y,3.82,0.79,w,f,f,d,u
e,3.41,s,y,n,f,a,d,p,5.95,4.22,n,f,f,l,u
e,4.83,x,s,n,f,p,,n,5.26,9.94,n,f,f,d,u
e,7.54,x,d,y,t,p,,y,7.13,14.6,y,f,f,d,a
p,3.46,x,i,e,f,,,e,4.49,5.12,e,f,f,d,a
p,8.38,b,y,w,f,,,p,14.18,16.6,w,f,f,d,a
e,6.62,s,,y,f,a,c,w,5.39,14.09,w,f,f,d,a
p,7.29,p,y,n,f,,,k,12.84,16.98,w,f,f,d,a
p,7.54,s,,r,t,d,,o,3.98,11.23,w,t,f,d,u
e,8.56,o,,n,f,,,w,6.27,28.19,n,f,f,d,a
e,4.34,x,t,n,f,d,,o,6.24,6.31,w,f,f,d,w
e,3.93,x,t,n,f,p,,n,4.88,10.75,e,f,f,d,a
p,3.44,o,s,w,f,,c,w,0.0,0.0,f,f,f,d,a
p,3.5,f,,n,f,x,c,p,8.22,4.01,p,f,f,l,a
p,5.99,x,d,n,f,a,c,n,6.07,6.45,y,t,,d,u
e,7.19,f,h,o,f,s,,n,7.82,12.1,n,f,f,d,a
p,7.65,p,g,n,f,e,,w,8.63,17.31,w,t,p,d,u
e,8.8,f,g,n,f,s,,y,9.79,13.39,o,f,f,d,a
p,2.72,x,t,n,f,s,c,p,4.69,7.7,w,t,z,d,u
p,1.54,x,g,y,f,d,d,n,1.79,2.3,n,f,f,d,a
e,8.9,p,y,n,t,e,,p,9.11,17.59,w,t,l,d,a
e,6.54,x,t,n,f,p,d,y,6.89,13.02,n,f,f,h,u
p,8.74,f,y,u,f,s,c,y,7.86,16.68,e,f,f,d,a
e,8.53,f,s,u,f,a,c,w,4.18,15.95,w,f,f,d,u
p,4.32,x,,e,f,x,,w,4.91,6.58,w,f,f,d,u
p,5.71,c,k,y,t,x,c,p,6.46,12.78,w,f,f,g,u
p,1.31,x,g,n,f,d,d,n,1.53,2.3,n,f,f,h,a
p,2.05,f,i,l,f,a,,p,4.31,2.68,w,f,f,g,a
p,0.99,b,t,y,f,,c,k,4.28,2.77,n,t,f,g,a
p,5.15,x,,e,f,,c,w,3.24,13.41,y,f,f,d,a
e,10.07,x,s,n,t,p,,n,8.28,18.19,n,t,p,d,u
e,9.76,f,e,b,f,,c,b,4.73,20.85,w,t,f,d,a
p,3.71,x,k,w,f,s,,p,4.24,3.04,n,f,f,g,u
e,6.97,x,,p,f,x,c,w,5.97,13.8,w,f,f,d,u
e,3.82,f,g,n,f,a,d,g,5.0,3.04,n,f,f,d,w
p,7.83,x,t,e,f,x,d,w,6.62,17.33,w,f,f,d,a
e,6.3,x,h,g,f,a,d,n,6.41,5.37,w,t,l,d,a
p,8.42,x,h,r,f,,c,w,11.0,14.94,w,t,p,d,a
e,1.01,x,g,n,t,a,,w,5.44,1.06,n,f,f,d,a
e,2.78,f,h,n,f,,c,k,4.85,5.67,w,f,f,d,a
p,2.49,s,d,w,f,d,d,w,3.48,2.49,w,f,f,g,a
p,2.11,b,,n,f,a,,g,5.28,2.06,g,f,f,d,a
e,9.55,x,h,n,f,p,d,y,7.87,12.74,n,f,f,h,u
e,6.45,x,h,n,f,a,d,n,5.0,4.65,g,t,l,d,w
p,5.37,x,e,e,f,a,,g,8.06,9.37,y,t,z,d,a
p,7.69,f,,r,f,x,c,y,6.05,11.49,w,f,f,d,u
e,7.27,f,s,b,f,d,d,o,6.14,13.56,w,f,f,m,a
p,5.57,b,k,n,f,d,c,y,4.82,5.99,y,t,,d,u
p,1.99,f,t,n,f,,,n,7.23,2.98,y,f,f,g,u
e,16.7,f,s,y,f,a,d,w,10.46,16.84,n,t,,d,a
p,0.94,x,g,w,f,a,d,w,2.58,1.61,e,f,f,d,u
e,11.32,f,s,w,f,e,c,k,17.47,12.85,w,t,e,g,u
e,11.17,f,e,b,f,,c,b,4.9,20.4,w,t,f,d,a
e,7.46,f,,b,f,d,c,y,2.16,12.23,w,f,f,d,w
e,3.47,f,h,n,f,,c,n,6.24,6.34,w,f,f,d,a
p,8.23,f,,r,f,x,c,n,6.87,12.7,w,f,f,d,a
e,11.24,x,s,n,f,e,c,p,7.97,10.51,n,f,f,d,a
p,3.47,s,d,w,f,a,d,p,4.02,2.9,w,f,f,g,u
e,8.54,x,s,n,f,e,c,p,6.42,9.62,n,f,f,d,a
e,4.16,x,t,n,f,d,,o,6.29,8.03,w,f,f,d,a
